Date,Block,dexTVL,bridgeTVL,liquidStakingTVL,crowdloanTVL,LPTokenStakingTVL,stableCoinTVL,OverallTVL
2022-04-08,1740728,11748502.3289326,24358315.6194106,13690734.6422325,86235768.8614815,11243280.2551955,17863594.26106,78904427.1068311
2022-04-09,1744511,11679970.3720517,25159437.2380808,14129746.5983697,89012071.5084632,11394509.0749329,17970468.3140777,80334131.5975127
2022-04-10,1748342,11992405.9767166,24402148.4963248,13629715.336612,86250802.9913388,11536706.2281586,18709033.6757102,80270009.7135222
2022-04-11,1752148,10613556.1222541,21942010.3638854,12131416.9599544,76819392.1941916,10171332.2644659,15794128.8796799,70652444.5902397
2022-04-12,1756009,10807350.6924253,21779977.8291001,12208891.7232738,76919619.7265737,10284333.8378323,15777556.1850233,70858110.2676548
2022-04-13,1759810,11088597.1526335,22767524.8492463,12792713.0737154,80051730.1135115,10505451.1734754,16804316.207444,73958602.4565147
2022-04-14,1763619,11029818.4195615,22969647.6357517,12946381.8242032,80337378.5808002,10478740.2732299,16752967.9591438,74177556.1118901
2022-04-15,1767375,11234948.0547685,23770221.1573464,13410938.3991203,82893180.6565415,10788713.9907759,17192776.3493048,76397597.9513159
2022-04-16,1771087,11528818.8455307,25046710.2080978,14131117.5189327,87253078.3151589,11210478.6389448,18011710.7609408,79928835.9724467
2022-04-17,1774902,11432099.8593604,25067936.5480113,13960078.8955069,86220734.7316242,11083864.8008735,18250198.2004988,79794178.304251
2022-04-18,1778708,11255843.6922252,24272116.5553645,13882331.0622089,83644887.1494065,10805322.4440022,16554501.6699393,76770115.4237401
2022-04-19,1782472,11267514.7229624,25774202.5856282,14713377.2157692,88576081.7426014,11130608.0331142,17592325.8353884,80478028.3928623
2022-04-20,1786343,11377126.349896,26241715.2770771,15042279.3520971,90385188.7020967,11009849.5068841,18213130.4833454,81884100.9692997
2022-04-21,1790294,11532164.0543907,24862951.5084861,14142809.7030161,83995683.5127436,11047198.4721437,18110830.682106,79695954.4201426
2022-04-22,1794197,11731876.9442216,24569431.588148,14117180.8956382,82407077.1244887,11439831.7865591,18008726.5938569,79867047.8084238
2022-04-23,1798162,12038829.0585839,25192158.8233062,15293480.9688895,82231678.9428202,11376033.557431,19281726.5089635,83182228.9171741
2022-04-24,1802115,11786301.3154888,24391591.893807,14807684.8768041,80217105.5419418,11147579.5108997,19199526.4309474,81332684.0279469
2022-04-25,1806087,11986409.2417173,24965429.7509577,15201525.5867432,81966075.9820079,11064716.9050685,19705764.3897914,82923845.8742782
2022-04-26,1810046,11595769.0594557,23489919.9743166,14400526.5417529,77330552.6093399,10617280.4467123,18674336.3942429,78777832.4164804
2022-04-27,1814021,11456730.820577,23866784.9719919,14702543.3562129,78793874.5821172,10662642.8820391,18695554.2576978,79384256.2885187
2022-04-28,1817974,11458940.0177912,23752925.3792702,14663299.8525384,78598430.8939723,10806233.2301142,18558400.0292991,79239798.5090131
2022-04-29,1821980,10877983.5596697,21887981.556332,13414233.7783112,73110973.4960573,10096881.0772156,17325217.7462548,73602297.7177832
2022-04-30,1826039,10135612.935292,19670508.8521221,12055764.5137342,65568851.684311,9352427.35809366,15469288.8743946,66683602.5336366
2022-05-01,1830125,10191535.4624515,20056143.7954524,12283976.5250227,66691400.0469895,9500086.18004448,15730769.1933047,67762511.1562759
2022-05-02,1834044,10045055.1862271,19877549.9503656,12229399.4743612,65513726.5415009,9441724.60062515,15789105.330044,67382834.5416231
2022-05-03,1837991,9940594.64070761,19438387.1887717,11951407.9151135,63910086.0233887,9303835.5770087,15530322.5636744,66164547.8852759
2022-05-04,1841986,10332851.9831323,21486167.6692706,13203540.2016357,70359727.7321711,9675386.61932887,16898030.9453379,71595977.4187054
2022-05-05,1846132,9849961.58520187,19537457.6674869,12007332.7148676,63824892.620864,9040415.92637849,15858555.4810257,66293723.3749605
2022-05-06,1850190,9840822.67592685,19689474.7123619,12050272.8293559,63484119.0107652,9080371.5581057,15831353.7941275,66492295.5698779
2022-05-07,1854421,9415403.70517684,18000460.8523776,11169969.70944,58848595.6380972,8701207.29484563,14431136.4865542,61718178.0483943
2022-05-08,1858658,8632921.43613457,17256328.3693212,10679636.8829532,56127418.1339257,8116123.87446142,13330526.992629,58015537.5554993
2022-05-09,1862992,7868856.42540658,15149554.6025534,9370326.07354355,49256820.7891389,7304146.87481217,11702786.7653867,51395670.7417025
2022-05-10,1867957,7063846.50005838,14505732.2459733,8978157.20190026,46465484.0122999,6597077.98766821,11443966.2723254,48588780.2079255
2022-05-11,1873972,5668543.96754457,11333232.3674374,7294151.03678108,37138309.84883,5461383.4938603,10608910.7198018,40366221.5854252
2022-05-12,1880188,5278033.86994263,11319930.2847568,7527435.34695462,34763919.6067002,5050541.56778976,9753341.01079649,38929282.0802403
2022-05-13,1886554,5513922.5050163,11908798.5315639,7974382.74092645,37378855.9265468,5342799.68464639,10508482.1142652,41248385.5764183
2022-05-14,1892961,4615803.83903166,11878741.1204488,7979480.86484065,36963913.9424853,4479821.95400405,10145672.7583356,39099520.5366608
2022-05-15,1899371,5098243.5974725,13782258.7070126,9704208.73522365,38612155.7125075,4897257.79944203,12011210.0103445,45493178.8494952
2022-05-16,1905778,5015527.66902045,15351097.584763,11189975.0486936,36873709.1633415,4803107.83495093,13368708.3991028,49728416.5365307
2022-05-17,1912230,5443403.11935412,17448119.2164226,12839945.7622205,41591419.1125627,5171446.03118892,14786901.8483224,55689815.9775086
2022-05-18,1918591,4831627.35859215,15835128.5317438,11633620.1824548,37997259.8013439,4804447.14964121,13547933.6742955,50652756.8967274
2022-05-19,1924950,5051995.21117578,16225840.8418215,11866784.7084906,39895569.2646591,4969413.05987397,13862469.9404269,51976503.7617887
2022-05-20,1931289,4898759.38949309,15647150.460453,11314257.5145155,37884503.8274141,4876638.84270267,13279427.2895302,50016233.4966945
2022-05-21,1937640,5106622.00907661,16761086.400832,12029939.4220828,40106047.0826613,5004865.17576783,14171588.0880595,53074101.0958187
2022-05-22,1944002,5212005.07573722,16929442.1036145,12141015.4527021,40352105.6746592,5121311.04685222,14419157.354337,53822931.033243
2022-05-23,1950438,5142608.61986131,17446266.9226202,12545227.8776584,41399483.3880512,4976457.22546842,14829710.3877367,54940271.033345
2022-05-24,1956833,5057267.73764398,17472166.1509747,12518757.3815381,41168960.0635726,4993204.27878273,14829439.652718,54870835.2016576
2022-05-25,1963028,5050560.60399012,17263663.1020571,12427987.4386489,40146639.2332761,4911963.5817045,14681527.8079904,54335702.534391
2022-05-26,1969604,4618061.24813433,15258738.6121995,11036696.6032715,35264054.9932864,4520738.47838719,13114722.4171604,48548957.359153
2022-05-27,1975998,4450432.57547176,14551135.022714,10552866.6785612,33481007.1922105,4318707.581023,12570318.4705629,46443460.3283328
2022-05-28,1982535,4453273.11976509,14817753.1242586,10776720.4416573,33908978.7554817,4337506.42152358,12802796.3609394,47188049.468144
2022-05-29,1988972,4492984.60010793,15688797.9763005,11415696.9124018,35866422.4629023,4393570.90993907,13441785.0810576,49432835.479807
2022-05-30,1995443,4740857.35211467,17082611.2690697,12429565.9617503,38914341.7226392,4696020.54917288,14734170.7032792,53683225.8353867
2022-05-31,2001782,4882591.70663735,17557356.3543363,12660720.3832639,39629966.3038468,4752189.49786745,15254736.9257936,55107594.8678986
2022-06-01,2008273,4595684.92167379,16745530.2895848,12175530.2469517,36748424.747864,4491235.78998206,14597291.2024715,52605272.4506638
2022-06-02,2014698,4575532.37044903,16911602.1325882,12280079.4069178,37009016.3320572,4527606.22560512,14688565.417933,52983385.5534932
2022-06-03,2021059,4465667.93066032,15655626.7676581,11427459.0357175,34174080.5786321,4322135.81239594,13728035.5325101,49598925.0789418
2022-06-04,2027513,4449136.87805755,15848848.0032739,11565413.644317,34565469.0925838,4350549.10184693,13811669.7440767,50025617.371572
2022-06-05,2034053,4407152.86021463,15791545.0571909,11536660.7307634,34268795.5967331,4340262.55185089,13862453.3238858,49938074.5239056
2022-06-06,2040490,4474009.68405503,16291583.9480827,11910788.9735258,35089659.0869417,4391089.16756591,14227561.6297158,51295033.4029453
2022-06-07,2046816,4388448.78768608,15968572.6198806,11761642.0613461,33590756.3401688,4290395.60500209,14005968.7541567,50415027.8280716
2022-06-08,2053305,4306262.93767904,15872800.6952848,11707615.0492956,33359731.8780282,4227290.01577802,13905650.6260657,50019619.3241032
2022-06-09,2059744,4359233.71320921,15835910.0052094,11686990.9185689,33250483.8677318,4258130.01449266,14076099.3955509,50216364.047031
2022-06-10,2066092,4117787.48456489,14183232.1712789,10449311.5158952,29651814.3175558,4030011.27445732,12632439.9742813,45412782.4204777
2022-06-11,2072325,3963451.46623963,13837953.9755406,10149405.5777973,28573867.2067873,3894232.36834233,12316368.9808331,44161412.368753
2022-06-12,2078699,3771602.60329912,12587494.4798475,9236596.12710015,26037108.3621986,3673255.19125245,11367864.2058146,40636812.6073139
2022-06-13,2084974,3372036.89591843,11898248.667873,7831543.17892765,23066865.4400577,3337301.74507998,9703008.61659792,36142139.104397
2022-06-14,2091245,3589269.84918011,13209820.6448904,9476166.40523581,25683305.1728901,3559448.70567363,10736968.8296012,40571674.4345811
2022-06-15,2097549,3764178.8594123,14806939.9584906,10777366.0953121,28624983.2483021,3704450.08542186,12009354.7817145,45062289.7803514
2022-06-16,2103874,3440450.46431967,12358705.3163206,8915974.21823821,24452009.9375771,3377222.31113395,10170472.8734075,38262825.1834199
2022-06-17,2110292,3409689.39155088,12441009.0343708,8991893.12689154,24550734.0569734,3378457.15764904,10237657.5123641,38458706.2228263
2022-06-18,2116724,3445679.4469606,12332708.1502618,8906555.27255334,24393877.9687955,3385251.7088845,10142228.551092,38212423.1297522
2022-06-19,2123104,3549821.71585905,12779958.9172986,9213172.81211107,25211734.6330327,3476218.70649014,10658610.8734266,39677783.0251854
2022-06-20,2129497,3622729.21009165,13698153.1364113,9626126.43802016,26363348.980102,3554046.28252464,11062858.3954831,41563913.4625308
2022-06-21,2135922,3727008.35869817,13675206.5646423,9799394.49308183,26940659.5666224,3653255.76109568,11270678.6791586,42125543.8566766
2022-06-22,2142278,3634993.06223224,13363716.1916075,9604003.9281828,26269636.2373248,3555479.68939979,10997083.4295868,41155276.3010091
2022-06-23,2148575,3646287.4696793,14090544.9813562,9918909.11107846,27162162.4131867,3593146.05056711,11193641.6421523,42442529.2548334
2022-06-24,2155139,3752477.06539826,14986388.6271002,10567804.7105804,28917146.5051956,3721508.23824188,11840803.002755,44868981.6440758
2022-06-25,2161562,3759708.01430805,14905609.8837238,10473270.2714543,28632500.3132307,3750830.07618015,11689144.8315712,44578563.0772376
2022-06-26,2168013,3851061.11639176,13132846.9122331,9304393.17233676,26522710.7565894,3769933.97255243,11280486.8337974,41338722.0073114
2022-06-27,2173904,3734609.38173167,13187844.3353026,9347124.72658589,26615421.2240428,3767156.44975698,11178713.9410653,41215448.8344424
2022-06-28,2179759,3731026.88901261,12453144.2437028,8854053.8664787,25099479.7967649,3709804.74171489,10784005.4002326,39532035.1411416
2022-06-29,2185605,3789631.34864248,12188899.7394138,8669291.6776366,24499116.8777966,3730844.16708828,10833491.1587213,39212158.0915025
2022-06-30,2191479,3746764.47022984,11696662.1078967,8323844.49780071,23455748.2656999,3685669.44484807,10483928.1478722,37936868.6686475
2022-07-01,2197147,3828385.54231249,12220045.9918344,8703272.61776878,24452009.9375771,3800846.84329326,10978729.5700235,39531280.5652324
2022-07-02,2202851,3968093.0103934,12416298.1592525,8848634.92744684,24540711.3037352,3880399.47401323,11623047.7815678,40736473.3526738
2022-07-03,2208544,3935273.84172285,12907696.6126018,8917291.38209161,24771234.6282138,3899219.70343473,11538859.096141,41198340.6359919
2022-07-04,2214453,4130924.8411307,13116923.4530684,9365308.85594326,25844671.5000251,4090157.85882088,11752992.2954981,42456307.3044613
2022-07-05,2220335,4030874.18034982,12855998.8509691,9217964.93632418,25339524.7368198,3968287.17445885,,
2022-07-06,2225942,4048716.08975091,13107722.9583865,9410755.96251389,25843669.2247013,4052488.56552281,,
